,city,Areas,neighborhood,estateprice
1,F,Campo di Marte,Firenze - 16 - Le Cure,515
2,F,Campo di Marte,Firenze - 16 - Le Cure,420
3,F,Campo di Marte,Firenze - 16 - Le Cure,170
4,F,Campo di Marte,Firenze - 16 - Le Cure,249
5,F,Campo di Marte,Firenze - 16 - Le Cure,490
6,F,Campo di Marte,Firenze - 16 - Le Cure,350
7,F,Campo di Marte,Firenze - 16 - Le Cure,250
8,F,Campo di Marte,Firenze - 16 - Le Cure,175
9,F,Campo di Marte,Firenze - 16 - Le Cure,155
10,F,Campo di Marte,Firenze - 16 - Le Cure,330
11,F,Campo di Marte,Firenze - 16 - Le Cure,280
12,F,Campo di Marte,Firenze - 16 - Le Cure,360
13,F,Campo di Marte,Firenze - 16 - Le Cure,590
14,F,Campo di Marte,Firenze - 16 - Le Cure,300
15,F,Campo di Marte,Firenze - 16 - Le Cure,280
17,F,Campo di Marte,Firenze - 17 - Collina Nord,940
18,F,Campo di Marte,Firenze - 17 - Collina Nord,780
19,F,Campo di Marte,Firenze - 17 - Collina Nord,485
20,F,Campo di Marte,Firenze - 17 - Collina Nord,470
21,F,Campo di Marte,Firenze - 17 - Collina Nord,600
22,F,Campo di Marte,Firenze - 17 - Collina Nord,650
23,F,Campo di Marte,Firenze - 17 - Collina Nord,398
24,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",275
25,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",165
26,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",258
27,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",740
28,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",65
29,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",495
30,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",160
31,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",230
32,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",250
33,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",230
34,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",210
35,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",279
36,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",450
37,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",490
38,F,Campo di Marte,"Firenze - 18 - Settignano, Coverciano",250
39,F,Centro Storico,Firenze -  8 - Il Prato,145
40,F,Centro Storico,Firenze -  8 - Il Prato,220
41,F,Centro Storico,Firenze -  8 - Il Prato,105
42,F,Centro Storico,Firenze -  8 - Il Prato,270
43,F,Centro Storico,Firenze -  8 - Il Prato,236
44,F,Centro Storico,Firenze -  8 - Il Prato,98.25
45,F,Centro Storico,Firenze -  8 - Il Prato,290
46,F,Centro Storico,Firenze -  8 - Il Prato,288
47,F,Centro Storico,Firenze -  8 - Il Prato,215
48,F,Centro Storico,Firenze -  8 - Il Prato,265
49,F,Centro Storico,Firenze -  8 - Il Prato,215
50,F,Centro Storico,Firenze -  8 - Il Prato,330
51,F,Centro Storico,Firenze -  8 - Il Prato,179
52,F,Centro Storico,Firenze -  8 - Il Prato,740
53,F,Centro Storico,Firenze -  8 - Il Prato,590
54,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",560
55,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",328
56,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",690
57,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",210
58,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",170
59,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",190
60,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",215
61,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",350
62,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",850
63,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",640
65,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",220
66,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",325
67,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",350
68,F,Centro Storico,"Firenze -  9 - S. Jacopino, La Fortezza",439
69,F,Centro Storico,Firenze - 11 - Viali,390
70,F,Centro Storico,Firenze - 11 - Viali,550
71,F,Centro Storico,Firenze - 11 - Viali,760
72,F,Centro Storico,Firenze - 11 - Viali,228
73,F,Centro Storico,Firenze - 11 - Viali,530
74,F,Centro Storico,Firenze - 11 - Viali,550
75,F,Centro Storico,Firenze - 11 - Viali,390
76,F,Centro Storico,Firenze - 11 - Viali,160
77,F,Centro Storico,Firenze - 11 - Viali,279
78,F,Centro Storico,Firenze - 11 - Viali,520
79,F,Centro Storico,Firenze - 11 - Viali,280
80,F,Centro Storico,Firenze - 11 - Viali,320
81,F,Centro Storico,Firenze - 11 - Viali,495
82,F,Centro Storico,Firenze - 11 - Viali,185
83,F,Centro Storico,Firenze - 11 - Viali,390
84,F,Centro Storico,"Firenze - 12 - Duomo, Oltrarno",370
86,F,Centro Storico,"Firenze - 12 - Duomo, Oltrarno",350
87,F,Centro Storico,"Firenze - 12 - Duomo, Oltrarno",390
88,F,Centro Storico,"Firenze - 12 - Duomo, Oltrarno",320
89,F,Centro Storico,"Firenze - 12 - Duomo, Oltrarno",360
91,F,Centro Storico,"Firenze - 12 - Duomo, Oltrarno",880
92,F,Centro Storico,"Firenze - 12 - Duomo, Oltrarno",480
