"","neigh","price"
"2","Firenze -  1 - Castello, Careggi, Le Panche",410
"3","Firenze -  1 - Castello, Careggi, Le Panche",265
"4","Firenze -  1 - Castello, Careggi, Le Panche",245
"5","Firenze -  1 - Castello, Careggi, Le Panche",225
"6","Firenze -  1 - Castello, Careggi, Le Panche",280
"7","Firenze -  1 - Castello, Careggi, Le Panche",270
"8","Firenze -  1 - Castello, Careggi, Le Panche",199
"9","Firenze -  1 - Castello, Careggi, Le Panche",390
"10","Firenze -  1 - Castello, Careggi, Le Panche",390
"11","Firenze -  1 - Castello, Careggi, Le Panche",160
"12","Firenze -  1 - Castello, Careggi, Le Panche",155
"13","Firenze -  1 - Castello, Careggi, Le Panche",155
"14","Firenze -  1 - Castello, Careggi, Le Panche",225
"15","Firenze -  1 - Castello, Careggi, Le Panche",NA
"16","Firenze -  1 - Castello, Careggi, Le Panche",165
"17","Firenze -  2 - Piana di Castello, Pistoiese",249
"18","Firenze -  2 - Piana di Castello, Pistoiese",340
"19","Firenze -  2 - Piana di Castello, Pistoiese",255
"20","Firenze -  2 - Piana di Castello, Pistoiese",249
"21","Firenze -  2 - Piana di Castello, Pistoiese",240
"22","Firenze -  2 - Piana di Castello, Pistoiese",145
"23","Firenze -  2 - Piana di Castello, Pistoiese",390
"24","Firenze -  2 - Piana di Castello, Pistoiese",275
"25","Firenze -  2 - Piana di Castello, Pistoiese",75
"26","Firenze -  2 - Piana di Castello, Pistoiese",75
"27","Firenze -  2 - Piana di Castello, Pistoiese",200
"28","Firenze -  2 - Piana di Castello, Pistoiese",160
"29","Firenze -  2 - Piana di Castello, Pistoiese",165
"30","Firenze -  2 - Piana di Castello, Pistoiese",360
"31","Firenze -  2 - Piana di Castello, Pistoiese",195
"32","Firenze -  3 - Il Lippi, Novoli, Barsanti",210
"33","Firenze -  3 - Il Lippi, Novoli, Barsanti",240
"34","Firenze -  3 - Il Lippi, Novoli, Barsanti",750
"35","Firenze -  3 - Il Lippi, Novoli, Barsanti",206
"36","Firenze -  3 - Il Lippi, Novoli, Barsanti",210
"37","Firenze -  3 - Il Lippi, Novoli, Barsanti",140
"38","Firenze -  3 - Il Lippi, Novoli, Barsanti",154
"39","Firenze -  3 - Il Lippi, Novoli, Barsanti",318
"40","Firenze -  3 - Il Lippi, Novoli, Barsanti",269
"41","Firenze -  3 - Il Lippi, Novoli, Barsanti",170
"42","Firenze -  3 - Il Lippi, Novoli, Barsanti",240
"43","Firenze -  3 - Il Lippi, Novoli, Barsanti",308
"44","Firenze -  3 - Il Lippi, Novoli, Barsanti",240
"45","Firenze -  3 - Il Lippi, Novoli, Barsanti",215
"46","Firenze -  3 - Il Lippi, Novoli, Barsanti",380
"47","Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",435
"48","Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",219
"49","Firenze -  4 - Cascine, Cintoia, Argingrosso, L'Isolotto",230
