room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
18505610,1407,10192805,Shared room,,Turin,,San Donato - Campidoglio - Parella,11,4.5,2,1.0,,15.0,,2017-06-29 01:47:37.502535,45.079725,7.652062,0101000020E61000007FDB1324B69B1E4039D6C56D348A4640
11454273,1407,60227938,Entire home/apt,,Turin,,San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia,40,5.0,6,3.0,,150.0,,2017-06-29 01:43:57.920707,45.057204,7.678105,0101000020E61000002E04392861B61E40A699EE7552874640
5984330,1407,1100352,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,5,3.0,,144.0,,2017-06-29 01:43:48.051576,45.052269,7.659076,0101000020E61000006150A6D1E4A21E401DCC26C0B0864640
6450648,1407,480273,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,4,1.0,,112.0,,2017-06-29 01:42:37.558820,45.0754,7.676207,0101000020E61000001A4E999B6FB41E40280F0BB5A6894640
10498823,1407,41845977,Entire home/apt,,Turin,,Centro - Crocetta,40,4.5,6,2.0,,114.0,,2017-06-29 01:41:56.893041,45.07086,7.688323,0101000020E6100000A35698BED7C01E401B4CC3F011894640
10582113,1407,11974842,Entire home/apt,,Turin,,San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia,2,0.0,4,1.0,,87.0,,2017-06-29 01:41:33.834580,45.048701,7.678827,0101000020E61000003291D26C1EB71E40292499D53B864640
1312985,1407,6703715,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,3,2.0,,173.0,,2017-06-29 01:38:14.140209,45.065325,7.681075,0101000020E6100000287E8CB96BB91E403C4ED1915C884640
1200096,1407,1029602,Entire home/apt,,Turin,,Centro - Crocetta,9,5.0,3,2.0,,162.0,,2017-06-29 01:38:12.675611,45.053569,7.660148,0101000020E610000049145AD6FDA31E402B8A5759DB864640
17912362,1407,44352158,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,4,1.0,,127.0,,2017-06-29 01:38:06.434282,45.063375,7.692366,0101000020E61000000873BB97FBC41E40273108AC1C884640
10757293,1407,36769728,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,4,1.0,,104.0,,2017-06-29 01:37:57.780981,45.064848,7.677432,0101000020E6100000340EF5BBB0B51E40029B73F04C884640
2742166,1407,3828899,Entire home/apt,,Turin,,"Aurora, Vanchiglia - Sassi - Madonna del Pilone",2,0.0,6,1.0,,104.0,,2017-06-29 01:37:57.770712,45.070409,7.711315,0101000020E6100000F19D98F562D81E400A2C802903894640
13543042,1407,16008875,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,4,2.0,,118.0,,2017-06-29 01:37:54.736355,45.065184,7.693904,0101000020E61000001C412AC58EC61E407A1C06F357884640
298915,1407,9845288,Entire home/apt,,Turin,,Centro - Crocetta,18,5.0,3,1.0,,104.0,,2017-06-29 01:37:51.211044,45.065695,7.690405,0101000020E6100000C2FA3F87F9C21E405F419AB168884640
7410855,1407,38827186,Entire home/apt,,Turin,,Santa Rita - Mirafiori,6,5.0,4,2.0,,107.0,,2017-06-29 01:37:50.241122,45.036281,7.647726,0101000020E610000059130B7C45971E40AC3B16DBA4844640
18358010,1407,57744890,Entire home/apt,,Turin,,San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia,2,0.0,6,2.0,,113.0,,2017-06-29 01:37:48.697956,45.04884,7.679676,0101000020E61000001F813FFCFCB71E404A5E9D6340864640
