room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
7032641,1361,26933670,Shared room,,Venice,,MESTRE - CARPENEDO (MESTRE CENTRO),99,4.5,4,1.0,,29.0,,2017-06-22 19:50:57.795143,45.483678,12.229047,0101000020E61000006B7EFCA545752840B8E52329E9BD4640
15982729,1361,94009346,Shared room,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),37,4.5,1,1.0,,41.0,,2017-06-22 19:50:57.788848,45.43413,12.329121,0101000020E610000088DA368C82A82840331B649291B74640
19187396,1361,33880260,Shared room,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),0,0.0,4,1.0,,35.0,,2017-06-22 19:50:57.786199,45.438839,12.334065,0101000020E6100000FB7953910AAB2840CC9A58E02BB84640
14528126,1361,45590360,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),6,4.0,10,4.0,,218.0,,2017-06-22 19:48:50.932287,45.433508,12.331307,0101000020E61000002BDF3312A1A92840F646AD307DB74640
17839604,1361,122015129,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),0,0.0,10,4.0,,518.0,,2017-06-22 19:47:11.837853,45.425435,12.327975,0101000020E6100000ABCFD556ECA7284071C971A774B64640
5426048,1361,6739708,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),3,4.5,6,2.0,,321.0,,2017-06-22 19:47:02.320078,45.439462,12.332246,0101000020E61000002174D0251CAA2840D9EA724A40B84640
4471990,1361,7619802,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),1,0.0,6,2.0,,266.0,,2017-06-22 19:46:48.534261,45.437641,12.318858,0101000020E6100000CD22145B41A32840C231CB9E04B84640
556657,1361,2737238,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),29,4.5,12,3.0,,242.0,,2017-06-22 19:46:46.599459,45.433222,12.332948,0101000020E61000008789062978AA284030F488D173B74640
601350,1361,2975628,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),35,4.0,6,3.0,,242.0,,2017-06-22 19:46:44.751600,45.437474,12.329254,0101000020E61000008527F4FA93A82840D76CE525FFB74640
6465001,1361,13736392,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),1,0.0,6,2.0,,231.0,,2017-06-22 19:46:35.232983,45.438449,12.332106,0101000020E61000005A9C31CC09AA284061FBC9181FB84640
13371298,1361,75923641,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),3,4.5,7,2.0,,244.0,,2017-06-22 19:46:13.363454,45.439862,12.339926,0101000020E6100000C51EDAC70AAE28406760E4654DB84640
14270162,1361,36767238,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),4,4.5,6,2.0,,242.0,,2017-06-22 19:46:13.348061,45.438064,12.338017,0101000020E6100000ECFB709010AD284008C72C7B12B84640
15476683,1361,25756873,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),2,0.0,7,3.0,,184.0,,2017-06-22 19:45:01.635816,45.441284,12.328554,0101000020E6100000A2F0D93A38A82840C11F7EFE7BB84640
16713472,1361,289615,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),0,0.0,12,3.0,,415.0,,2017-06-22 19:44:18.103313,45.439905,12.339845,0101000020E6100000126BF12900AE2840672C9ACE4EB84640
12861590,1361,2634978,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),0,0.0,6,2.0,,276.0,,2017-06-22 19:43:59.254046,45.437101,12.328492,0101000020E6100000CAFE791A30A828404206F2ECF2B74640
17249195,1361,12386290,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),0,0.0,6,3.0,,277.0,,2017-06-22 19:43:52.618718,45.436351,12.341072,0101000020E6100000A2293BFDA0AE2840D8497D59DAB74640
13217613,1361,10517856,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),22,5.0,6,2.0,,211.0,,2017-06-22 19:42:33.435395,45.440768,12.326632,0101000020E610000076A73B4F3CA72840C98FF8156BB84640
13849881,1361,4378516,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),5,4.5,5,2.0,,191.0,,2017-06-22 19:42:09.278037,45.438829,12.331255,0101000020E6100000E1455F419AA92840A8C4758C2BB84640
271400,1361,1420314,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),13,4.5,7,2.0,,196.0,,2017-06-22 19:42:07.550696,45.439945,12.340577,0101000020E6100000228AC91B60AE2840F584251E50B84640
16282241,1361,106482475,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),11,4.0,5,1.0,,172.0,,2017-06-22 19:41:53.722056,45.433748,12.328914,0101000020E6100000A164726A67A828404B5AF10D85B74640
9457650,1361,5857136,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),0,0.0,7,2.0,,184.0,,2017-06-22 19:41:50.450595,45.438941,12.325665,0101000020E610000058E71890BDA62840D0EFFB372FB84640
990809,1361,1897360,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),34,4.5,6,2.0,,184.0,,2017-06-22 19:41:21.255112,45.436364,12.345378,0101000020E61000000A849D62D5B028406C938AC6DAB74640
6315134,1361,32854955,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),22,4.0,6,3.0,,173.0,,2017-06-22 19:41:19.152495,45.439893,12.330818,0101000020E610000034DB15FA60A92840A25EF0694EB84640
181880,1361,334601,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),53,4.0,6,2.0,,156.0,,2017-06-22 19:41:13.661937,45.437734,12.329986,0101000020E61000009546CCECF3A82840732CEFAA07B84640
12718530,1361,4339678,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),5,4.0,5,2.0,,179.0,,2017-06-22 19:41:11.858916,45.435989,12.32562,0101000020E6100000D8D825AAB7A628403735D07CCEB74640
2545436,1361,13027859,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),62,4.0,8,2.0,,179.0,,2017-06-22 19:41:11.840503,45.440315,12.326315,0101000020E610000073637AC212A728401878EE3D5CB84640
7573534,1361,31064633,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),10,4.0,5,2.0,,173.0,,2017-06-22 19:40:45.232952,45.436225,12.328121,0101000020E6100000FA42C879FFA728404B598638D6B74640
16714900,1361,13027859,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),1,0.0,8,3.0,,185.0,,2017-06-22 19:40:45.223563,45.446941,12.328755,0101000020E6100000FFCA4A9352A82840EB1ED95C35B94640
77587,1361,334601,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),30,3.5,6,2.0,,149.0,,2017-06-22 19:40:42.964216,45.439161,12.326016,0101000020E61000000AF2B391EBA62840DE567A6D36B84640
200754,1361,334601,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),24,4.0,6,2.0,,184.0,,2017-06-22 19:40:39.638272,45.439533,12.331631,0101000020E6100000F7ADD689CBA92840A2410A9E42B84640
68957,1361,334601,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),35,3.5,6,2.0,,149.0,,2017-06-22 19:40:35.766245,45.440028,12.341013,0101000020E61000008E05854199AE284082A966D652B84640
1973662,1361,334601,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),44,4.0,6,2.0,,156.0,,2017-06-22 19:40:33.979968,45.43774,12.322729,0101000020E61000000BF148BC3CA52840551344DD07B84640
12087736,1361,64781321,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),6,4.5,6,3.0,,173.0,,2017-06-22 19:40:30.713135,45.437918,12.331313,0101000020E6100000B37A87DBA1A92840352A70B20DB84640
2666889,1361,13604184,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),2,0.0,6,1.0,,322.0,,2017-06-22 19:39:20.288223,45.439778,12.325656,0101000020E61000000B7E1B62BCA6284009C03FA54AB84640
17129341,1361,115131211,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),0,0.0,4,2.0,,460.0,,2017-06-22 19:39:17.016151,45.435867,12.338753,0101000020E610000002D8800871AD2840EC33677DCAB74640
3189889,1361,7258600,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),36,4.5,8,3.0,,324.0,,2017-06-22 19:38:58.299260,45.438098,12.334801,0101000020E6100000115663096BAB2840B438639813B84640
11294491,1361,5857136,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),1,0.0,6,2.0,,196.0,,2017-06-22 19:36:55.659425,45.435225,12.344654,0101000020E610000005DF347D76B0284068B3EA73B5B74640
18469923,1361,46904188,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),1,0.0,5,2.0,,196.0,,2017-06-22 19:36:52.252076,45.43881,12.342675,0101000020E61000004850FC1873AF2840319413ED2AB84640
14458673,1361,46904188,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),3,5.0,5,2.0,,196.0,,2017-06-22 19:36:49.190502,45.439438,12.336974,0101000020E610000061342BDB87AC2840514F1F813FB84640
14927241,1361,15643843,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),5,4.5,4,1.0,,196.0,,2017-06-22 19:36:49.187944,45.437232,12.327128,0101000020E610000037363B527DA72840E161DA37F7B74640
652874,1361,3281444,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),202,4.5,6,3.0,,149.0,,2017-06-22 19:36:27.314777,45.438537,12.333289,0101000020E6100000AC3B16DBA4AA2840008BFCFA21B84640
867304,1361,470341,Entire home/apt,,Venice,,CHIRIGNAGO - ZELARINO ( MESTRE OVEST),16,4.0,6,2.0,,90.0,,2017-06-22 19:30:42.228092,45.527799,12.200715,0101000020E61000001FA2D11DC466284046EEE9EA8EC34640
17083229,1361,669047,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),0,0.0,4,2.0,,460.0,,2017-06-22 19:29:49.547186,45.426506,12.321429,0101000020E6100000D3F8855792A428401EC6A4BF97B64640
8301408,1361,26102869,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),2,0.0,4,1.0,,329.0,,2017-06-22 19:29:47.957483,45.435941,12.345013,0101000020E6100000C3633F8BA5B0284026FE28EACCB74640
15812296,1361,69921858,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),0,0.0,5,2.0,,460.0,,2017-06-22 19:29:47.943330,45.438203,12.346628,0101000020E61000007BC1A73979B128402A01310917B84640
11957681,1361,15337957,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),2,0.0,4,1.0,,375.0,,2017-06-22 19:29:42.200667,45.430424,12.328543,0101000020E6100000D2A8C0C936A82840EEB4352218B74640
5301390,1361,17534457,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),14,4.5,13,6.0,,363.0,,2017-06-22 19:29:42.190938,45.433948,12.350479,0101000020E61000009CDEC5FB71B328401215AA9B8BB74640
17084889,1361,77467059,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),4,3.5,13,6.0,,346.0,,2017-06-22 19:29:42.179895,45.432839,12.324094,0101000020E6100000DFA815A6EFA5284078B7B24467B74640
14462182,1361,669047,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),5,5.0,4,2.0,,438.0,,2017-06-22 19:29:40.408804,45.436153,12.333253,0101000020E610000078962023A0AA2840B1868BDCD3B74640
7681285,1361,27747660,Entire home/apt,,Venice,,LIDO - PELLESTRINA (VENEZIA LITORALE),2,0.0,6,3.0,,460.0,,2017-06-22 19:29:38.629179,45.419599,12.37533,0101000020E6100000556AF6402BC028409737876BB5B54640
17870715,1361,104994977,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),1,0.0,11,5.0,,391.0,,2017-06-22 19:29:38.613058,45.439023,12.336829,0101000020E610000053B0C6D974AC28408D98D9E731B84640
15796938,1361,3972291,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),1,0.0,6,3.0,,311.0,,2017-06-22 19:29:35.484394,45.43114,12.327815,0101000020E6100000C746205ED7A72840ACFF73982FB74640
1283600,1361,1968449,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),41,4.5,9,4.0,,322.0,,2017-06-22 19:29:30.438492,45.435156,12.337721,0101000020E6100000475854C4E9AC28403F541A31B3B74640
4256418,1361,18030756,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),12,4.5,12,4.0,,455.0,,2017-06-22 19:29:28.648922,45.430186,12.324951,0101000020E6100000E19A3BFA5FA628403999B85510B74640
4146739,1361,13213656,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),3,4.5,4,1.0,,208.0,,2017-06-22 19:28:05.439715,45.429388,12.333791,0101000020E6100000F56569A7E6AA2840BEA59C2FF6B64640
17749576,1361,120937530,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),0,0.0,4,0.0,,195.0,,2017-06-22 19:26:28.566646,45.426792,12.292813,0101000020E6100000F3AFE595EB952840E318C91EA1B64640
6801426,1361,5857136,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),0,0.0,4,1.0,,196.0,,2017-06-22 19:26:28.562212,45.434591,12.339184,0101000020E610000026A77686A9AD284066118AADA0B74640
3195851,1361,15178567,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),0,0.0,3,2.0,,202.0,,2017-06-22 19:26:27.072034,45.441206,12.335558,0101000020E610000085D21742CEAB284045662E7079B84640
683030,1361,3458662,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),13,4.5,4,2.0,,191.0,,2017-06-22 19:26:27.064370,45.442355,12.341162,0101000020E6100000A24621C9ACAE28406D1CB1169FB84640
1957088,1361,334601,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),36,4.0,7,2.0,,196.0,,2017-06-22 19:26:27.049762,45.444795,12.329085,0101000020E6100000543541D47DA828405036E50AEFB84640
5657232,1361,29271096,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),21,4.0,4,1.0,,190.0,,2017-06-22 19:26:25.391601,45.435383,12.33238,0101000020E610000060B01BB62DAA2840001E51A1BAB74640
1316277,1361,7161521,Entire home/apt,,Venice,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),17,5.0,5,2.0,,196.0,,2017-06-22 19:26:23.631372,45.434535,12.348439,0101000020E6100000494DBB9866B22840D2FBC6D79EB74640
